target,run,acc,f1,kl,emd,jsd
P1_1,0,0.16,0.1402008607281677,0.2844694244092153,0.7449999932950002,0.2802438679073456
P1_1,1,0.09,0.07232774998585549,0.27787280023293676,0.6549999941050002,0.27417577686793315
P1_1,2,0.15,0.12322597722322651,0.28135257072825515,0.6349999942850002,0.2825378288311781
P6A,0,0.27,0.23643351796790418,0.22935911026949757,0.4999999975,0.2582694881604238
P6A,1,0.185,0.15352008709754655,0.3259440777878501,0.68999999655,0.3034903917211382
P6A,2,0.175,0.14526195061530622,0.3389458824467722,0.6799999966,0.3091866581252233
P6B,0,0.155,0.12674865725404433,0.8995911025716059,1.6499999917500001,0.44846596301564634
P6B,1,0.2,0.12779696363335963,0.6797987552877723,1.4249999928750001,0.40050253289727517
P6B,2,0.175,0.1260826460085321,0.8325700287220403,1.624999991875,0.4353797235291079
P6C,0,0.23,0.2148066332715753,0.22725156495564608,0.5649999971749999,0.24134400291495267
P6C,1,0.235,0.21659678138104513,0.22829563189053712,0.574999997125,0.23627756993429513
P6C,2,0.155,0.130993106997412,0.18424742615048967,0.4899999975500001,0.21645170264397165
P6D,0,0.225,0.2165712500359276,0.1693580907526292,0.3799999981,0.21761571608303962
P6D,1,0.23,0.21664173989755384,0.22116440825194636,0.424999997875,0.24702318950890267
P6D,2,0.2,0.17249854202235154,0.12879195463368207,0.29999999849999986,0.1935589927885663
P6E,0,0.155,0.12562600797894916,0.43064341110199233,0.8549999957249999,0.3299936983030449
P6E,1,0.26,0.22447539055242327,0.3832359016319091,0.8599999957,0.3072443767717889
P6E,2,0.215,0.1684462483031553,0.3576400617466624,0.714999996425,0.3002442401477706
